ID,Identifier,Title,Type,Creator,Creation_Date,Image_URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
AK-MAK-1316,http://hdl.handle.net/10934/RM0001.COLLECT.2224,"Enkelband, versierd met concentrische cirkels",enkelbandje,anonymous,-600,https://lh3.googleusercontent.com/kJNAlR8jnUoDB7cmHiFfNaRrqnFj1d2U8f40PWeQm04YrjPurIMcZuTJlmIG8EI0NYmYUkGDKoQBhFVaM4l1g4Ca1g=s0,,,,
AK-MAK-1317,http://hdl.handle.net/10934/RM0001.COLLECT.2223,Armband,armband,anonymous,-600,https://lh3.googleusercontent.com/ez7r49GIWH91zljLslMX8XOW9dHJNVYNv2uXZa4o_BKugInRDDhp_GXG8eaqtfQVZRxlIe9W-_5zdi46Lsfcf2b_aQ=s0,,,,
AK-MAK-1318,http://hdl.handle.net/10934/RM0001.COLLECT.2217,Applique,applique,anonymous,-600,https://lh6.ggpht.com/Jpwo-nJ5tjzZetth5c-vUJ8VZIR_K5jX1wk0DqdMNCP0yHfgJbS9D3hV-_tscpsqval5Sw2zBN1m8z9jFhSJIdiKnxo1=s0,,,,
AK-MAK-1319,http://hdl.handle.net/10934/RM0001.COLLECT.2218,Armband,armband,anonymous,-400,https://lh3.googleusercontent.com/sP2h-qNJnFhMahuxt7xGmM71ANBgPQF6C0ZHfFMsfhT-Zz71_Dnl2DG3f1bjzh525QkfQgywwmqU7BR7kuiKfVt5suS6=s0,,,,
AK-MAK-132,http://hdl.handle.net/10934/RM0001.COLLECT.1651,Helm,helm,anonymous,1600,,,,,
AK-MAK-1320,http://hdl.handle.net/10934/RM0001.COLLECT.2219,Armband,armband,anonymous,-600,https://lh3.googleusercontent.com/eYj-TAdWHu2_9tEtuX8vojHKiZdVngv91G2P73vXFHpqCgW_jYkxh5zXH3NTdq-NTErYIDbrXCf9547HR6lC88T81lg=s0,,,,
AK-MAK-1321,http://hdl.handle.net/10934/RM0001.COLLECT.2220,"Enkelband, zonder versiering met enkele incrustaties",enkelbandje,anonymous,-600,https://lh3.googleusercontent.com/Q5P4LfrlDxUojfdlAfCwh-r0viAAAMfcIO120ZYejnQYgoao56GWHcMijPznhY1gg1q1iYMlIOv11LwivRmI1L1JOBQc=s0,,,,
AK-MAK-1322-A,http://hdl.handle.net/10934/RM0001.COLLECT.604,Rituele plengbeker,ritueel object,anonymous,-1300,https://lh3.googleusercontent.com/u0Rqg4mIz20Jxo_lHwMoyuy9lKJQHo7DPhAqtyESbfvMvXuOjma1i3XmhX2-QiPckwxyh1ljpFNs-FtSFfRgrfwmQlQ=s0,,,,
AK-MAK-1322-B,http://hdl.handle.net/10934/RM0001.COLLECT.605,Rituele plengbeker,ritueel object,anonymous,-1300,https://lh3.googleusercontent.com/9Mq_z5-1BfxPZGKygzbuwUAeb-XNEKVKt7tQKUpxv3mVrh1qq7fyDQg3QoaZA9rep_QzdpA1eZ-3AYlgtHsnapQACWA2=s0,,,,
AK-MAK-1323,http://hdl.handle.net/10934/RM0001.COLLECT.641,Fragment van een paardenbit,bit,anonymous,-1100,https://lh3.googleusercontent.com/-myaUCPmWWxKL3PwjJy8HSGBoLKoZkhLHdzgaHGBDlzD1pdiEq5e2jOY3CPecH259Bnaf_XDDS-uBFOqvrfEAl9WB0M=s0,,,,
